state	office_family	fact_field	status	value	authority_type	legal_locator	effective_date	direct_derived	review_required	authority_url	paraphrase
MA	ATTORNEY_GENERAL	Office Existence	KNOWN	true	CONSTITUTION	Amend. Art. XVII (17)	1855-05-23	DIRECT	false	https://malegislature.gov/Laws/Constitution	Constitutional executive officer.
MA	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	ADMITTED_TO_MASSACHUSETTS_BAR	OFFICIAL_CANDIDATE_GUIDE` / `COMMON_LAW	Office of Sec. of Commonwealth Candidate Guide; M.G.L. c. 12	2024-01-01	DIRECT	false	https://www.sec.state.ma.us/divisions/elections/download/candidates/how-to-run-for-office.pdf	Candidate must be an attorney admitted to the Massachusetts Bar in good standing.
MA	ATTORNEY_GENERAL	Selection Mechanism	KNOWN	ELECTED_GENERAL	CONSTITUTION	Amend. Art. XVII	1855-05-23	DIRECT	false	https://malegislature.gov/Laws/Constitution	Chosen by the people at general election.
MA	ATTORNEY_GENERAL	State Residence Duration	KNOWN	5 years	CONSTITUTION	Amend. Art. XVII	1855-05-23	DIRECT	false	https://malegislature.gov/Laws/Constitution	Inhabitant of commonwealth for five years next preceding election.
MA	GOVERNOR	Elector Requirement	KNOWN	REGISTERED_VOTER	STATUTE	M.G.L. c. 53, § 9; c. 51, § 1	1898-01-01	DIRECT	false	https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVIII/Chapter53/Section9	Nomination papers require certified certificate of voter registration from board of registrars.
MA	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Pt. 2, C. 2, § 1, Art. I	1780-10-25	DIRECT	false	https://malegislature.gov/Laws/Constitution	Supreme executive magistrate styled His Excellency the Governor of the Commonwealth of Massachusetts.
MA	GOVERNOR	Selection Mechanism	KNOWN	ELECTED_GENERAL	CONSTITUTION	Amend. Art. LXXXVI (86)	1966-11-08	DIRECT	false	https://malegislature.gov/Laws/Constitution	Joint election on single ticket with Lieutenant Governor in general election.
MA	GOVERNOR	State Residence Duration	KNOWN	7 years	CONSTITUTION	Pt. 2, C. 2, § 1, Art. II	1780-10-25	DIRECT	false	https://malegislature.gov/Laws/Constitution	Must have been an inhabitant of the commonwealth for seven years next preceding election.
MA	GOVERNOR	Term Length	KNOWN	4 years	CONSTITUTION	Amend. Art. LXIV (64), as amended by Amend. Art. LXXXII (82)	1964-11-03	DIRECT	false	https://malegislature.gov/Laws/Constitution	Quadrennial elections commencing with the election of 1966.
MA	GOVERNOR	Term Limit Rule	NO_REQUIREMENT_FOUND	NO_TERM_LIMIT	COURT_RULING	*Ligotti v. State Ballot Law Commission*, 425 Mass. 614 (1997)	1997-07-09	DIRECT	false	https://massreports.com/	1994 statutory term limits initiative struck down as unconstitutional by Supreme Judicial Court; no limits in Constitution.
MA	LIEUTENANT_GOVERNOR	Elector Requirement	KNOWN	REGISTERED_VOTER	STATUTE	M.G.L. c. 53, § 9	1898-01-01	DIRECT	false	https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVIII/Chapter53/Section9	Registered voter in commonwealth.
MA	LIEUTENANT_GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Pt. 2, C. 2, § 2, Art. I	1780-10-25	DIRECT	false	https://malegislature.gov/Laws/Constitution	Styled His Honor the Lieutenant Governor.
MA	LIEUTENANT_GOVERNOR	Selection Mechanism	KNOWN	ELECTED_GENERAL	CONSTITUTION	Amend. Art. LXXXVI (86)	1966-11-08	DIRECT	false	https://malegislature.gov/Laws/Constitution	Joint ticket with Governor in general election.
MA	LIEUTENANT_GOVERNOR	State Residence Duration	KNOWN	7 years	CONSTITUTION	Pt. 2, C. 2, § 2, Art. I	1780-10-25	DIRECT	false	https://malegislature.gov/Laws/Constitution	Inhabitant of commonwealth for seven years preceding election.
MA	LOWER_CHAMBER	District Residence Duration	KNOWN	1 year	CONSTITUTION	Amend. Art. CI, § 1	1974-11-05	DIRECT	false	https://malegislature.gov/Laws/Constitution	Inhabitant of the district for at least one year immediately preceding election.
MA	SECRETARY_OF_STATE	State Residence Duration	KNOWN	5 years	CONSTITUTION	Amend. Art. XVII	1855-05-23	DIRECT	false	https://malegislature.gov/Laws/Constitution	Inhabitant of commonwealth for five years next preceding election.
MA	UPPER_CHAMBER	State Residence Duration	KNOWN	5 years	CONSTITUTION	Amend. Art. CI, § 2	1974-11-05	DIRECT	false	https://malegislature.gov/Laws/Constitution	Inhabitant of this commonwealth for five years at least immediately preceding election.
MI	ATTORNEY_GENERAL	State Residence Duration	KNOWN	QUALIFIED_ELECTOR_AT_NOMINATION	STATUTE	MCL 168.71	1999-12-28	DIRECT	false	https://www.legislature.mi.gov/mileg.aspx?page=GetObject\&objectname=mcl-168-71	Must be a registered and qualified elector of this state on the date nominated.
