semantic_id,domain,bank,stable_key,field,surface,reachability,reachability_reason,realization,slots,source_path,source_symbol,grounding,text
prose:campaign:campaign-status:detail-0001#text,campaign,campaign-status,detail-0001,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,An afternoon on the doors
prose:campaign:campaign-status:detail-0002#text,campaign,campaign-status,detail-0002,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,An afternoon on the phones
prose:campaign:campaign-status:detail-0003#text,campaign,campaign-status,detail-0003,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,Asking people who might give for something the campaign cannot do without.
prose:campaign:campaign-status:detail-0004#text,campaign,campaign-status,detail-0004,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,"Knocking, and talking to whoever opens. Slow, and the only thing that changes minds."
prose:campaign:campaign-status:detail-0005#text,campaign,campaign-status,detail-0005,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,Placing an advertising buy
prose:campaign:campaign-status:detail-0006#text,campaign,campaign-status,detail-0006,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,"Reaching people nobody had the hours to meet, with money the campaign already raised."
prose:campaign:campaign-status:detail-0007#text,campaign,campaign-status,detail-0007,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,Somebody's street
prose:campaign:campaign-status:detail-0008#text,campaign,campaign-status,detail-0008,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,The campaign office
prose:campaign:campaign-status:detail-0009#text,campaign,campaign-status,detail-0009,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,detail,candidacy campaign-treasury,The campaign's call desk
prose:campaign:campaign-status:fileForOffice-0001#text,campaign,campaign-status,fileForOffice-0001,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,fileForOffice,candidacy campaign-treasury,People who might give
prose:campaign:campaign-status:fileForOffice-0002#text,campaign,campaign-status,fileForOffice-0002,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,fileForOffice,candidacy campaign-treasury,Whoever sells the advertising
prose:campaign:campaign-status:fileForOffice-0003#text,campaign,campaign-status,fileForOffice-0003,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,templated,option.chamberName person.familyName,src/presentation/campaign-projection.ts,fileForOffice,candidacy campaign-treasury,{person.familyName} for the {option.chamberName}
prose:campaign:campaign-status:offersFor-0001#text,campaign,campaign-status,offersFor-0001,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,offersFor,candidacy campaign-treasury,An hour and a half of a day that has other things in it.
prose:campaign:campaign-status:offersFor-0002#text,campaign,campaign-status,offersFor-0002,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,templated,money(buy),src/presentation/campaign-projection.ts,offersFor,candidacy campaign-treasury,"An hour and a half, and {money(buy)} of what the committee has raised."
prose:campaign:campaign-status:offersFor-0003#text,campaign,campaign-status,offersFor-0003,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,offersFor,candidacy campaign-treasury,Place an advertising buy
prose:campaign:campaign-status:offersFor-0004#text,campaign,campaign-status,offersFor-0004,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,offersFor,candidacy campaign-treasury,Spend the afternoon on the doors
prose:campaign:campaign-status:offersFor-0005#text,campaign,campaign-status,offersFor-0005,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,offersFor,candidacy campaign-treasury,Spend the afternoon on the phones
prose:campaign:campaign-status:officeAuthority-0001#text,campaign,campaign-status,officeAuthority-0001,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,templated,option.recordedBy.packName option.seats.value,src/presentation/campaign-projection.ts,officeAuthority,candidacy campaign-treasury,"{option.seats.value} of them, as {option.recordedBy.packName} records it."
prose:campaign:campaign-status:projectCampaign-0001#text,campaign,campaign-status,projectCampaign-0001,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,templated,candidateName,src/presentation/campaign-projection.ts,projectCampaign,candidacy campaign-treasury,"{candidateName} lost. That is a thing that happened to them, not the end of them — tomorrow is still there."
prose:campaign:campaign-status:projectCampaign-0002#text,campaign,campaign-status,projectCampaign-0002,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,templated,candidateName,src/presentation/campaign-projection.ts,projectCampaign,candidacy campaign-treasury,"{candidateName} won. The seat is theirs, and so is everything that came before it."
prose:campaign:campaign-status:unavailable-0001#text,campaign,campaign-status,unavailable-0001,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,unavailable,candidacy campaign-treasury,Election day has arrived. There is nothing left to do but wait for the count.
prose:campaign:campaign-status:unavailable-0002#text,campaign,campaign-status,unavailable-0002,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,unavailable,candidacy campaign-treasury,The rest of today is already spoken for. Get on with the day and pick this up tomorrow.
prose:campaign:campaign-status:unavailable-0003#text,campaign,campaign-status,unavailable-0003,text,status,PLAYER_REACHABLE,The campaign workspace shows these once a candidacy is filed (merged PR #85).,static,,src/presentation/campaign-projection.ts,unavailable,candidacy campaign-treasury,There is nothing in the account to spend.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0001#text,conversation,commit-contract,COMMIT_CONTRACTS-0001,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,A bounded in-room conversation during briefing work.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0002#text,conversation,commit-contract,COMMIT_CONTRACTS-0002,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,A conversation about who does which part of shared work.
