research_issue,research_domain,relationship,shipped_issue_keys,note
budget-and-appropriations,public-finance-administration,research-umbrella,fiscal.operating-budget;fiscal.capital-budget;fiscal.appropriations,"Keep operating budget, capital plan and appropriation separate. One umbrella is not one executable operation."
taxes-and-revenue,public-finance-administration,research-umbrella,fiscal.income-tax;fiscal.sales-tax;fiscal.property-tax;fiscal.excise-taxes;fiscal.fees-and-charges,"Keep independent instruments, bases, liabilities and accounts; fees are not silently converted to taxes. This map does not correct or broaden level authority."
debt-and-capital-finance,public-finance-administration,research-umbrella,fiscal.debt-and-bonds;fiscal.capital-budget,Borrowing authority and a capital spending plan are related but different records.
public-workforce-and-pensions,public-finance-administration,partial-overlap,fiscal.public-pensions;labor-workforce.public-employment;government-operations.civil-service,Research row focuses on financing; civil service also contains selection and discipline not covered by that financial label.
procurement-and-contracting,public-finance-administration,research-umbrella,fiscal.procurement;government-operations.public-contracting,Fiscal controls and award/contract terms remain distinguishable; do not duplicate a procurement.
intergovernmental-aid,public-finance-administration,partial-overlap,fiscal.revenue-sharing,"Revenue sharing overlaps transfers, but this label alone does not specify categorical grants, conditions or receiving/awarding powers."
government-organization,public-finance-administration,research-specialization,government-operations.agency-organization,"Administrative organization, not authority to alter electoral or constitutional structure."
school-finance,education-workforce,equivalent-topic,education.school-funding,Topic equivalent; retain school-district scope as vocabulary without activating deferred school-board gameplay.
teachers-and-school-workforce,education-workforce,equivalent-topic,education.teacher-workforce,"Retain pay, preparation and licensure distinctions within the existing key."
curriculum-accountability-and-school-governance,education-workforce,partial-overlap,education.curriculum-and-standards;education.school-choice,"Standards and accountability overlap; school choice is only part of governance, not a synonym for all school governance."
early-childhood,education-workforce,equivalent-topic,education.early-childhood,Existing description explicitly includes pre-kindergarten and child care.
postsecondary-finance-and-governance,education-workforce,research-umbrella,education.higher-education-tuition-and-aid;education.higher-education-governance,Combines two real topics without merging their rules or decision owners.
student-aid,education-workforce,research-specialization,education.higher-education-tuition-and-aid,Aid is narrower than all college costs; do not discard tuition and fee policy.
workforce-training,education-workforce,research-umbrella,labor-workforce.workforce-training;education.career-and-technical-education,Training and career/technical education can share a learning view without duplicating participation or qualifications.
medicaid-and-coverage,health-human-services,research-umbrella,health-human-services.medicaid;health-human-services.insurance-access,"Medicaid and general insurance access remain distinct instruments, programs and beneficiaries."
health-costs-and-provider-regulation,health-human-services,research-umbrella,health-human-services.hospitals-and-providers;health-human-services.insurance-access,Provider capacity/licensing and coverage/cost rules overlap; the map supplies no payment formula.
public-health,health-human-services,equivalent-topic,health-human-services.public-health,Equivalent topic only; concrete emergency powers require the relevant profile.
behavioral-health-and-substance-use,health-human-services,research-umbrella,health-human-services.behavioral-health;health-human-services.substance-use,Do not erase the difference between mental health care and substance-use policy.
maternal-child-health,health-human-services,partial-overlap,health-human-services.public-health;health-human-services.hospitals-and-providers,"No explicit maternal/child clinical issue in shipped keys. These are neighboring service subjects, not a complete substitute. Child protection is not maternal health."
disability-and-aging,health-human-services,equivalent-topic,health-human-services.aging-and-disability,Equivalent topic; individual disability does not infer incapacity or a legal adjudication.
child-welfare-and-family-assistance,health-human-services,research-umbrella,health-human-services.child-and-family-services;health-human-services.food-and-income-assistance,Child protection and household financial assistance remain separate actions.
policing,justice-public-safety,equivalent-topic,justice-public-safety.policing,Equivalent topic.
courts-and-pretrial,justice-public-safety,research-umbrella,justice-public-safety.courts;justice-public-safety.prosecution-and-defense;justice-public-safety.jails,"Court capacity, counsel, charging and pretrial detention are separate; retain prosecution and defense as more than a court-label alias."
sentencing-corrections-and-reentry,justice-public-safety,research-umbrella,justice-public-safety.criminal-law-and-sentencing;justice-public-safety.corrections-and-prisons;justice-public-safety.reentry,The researched label does not fully describe defining crimes; preserve that extra shipped meaning.
juvenile-justice,justice-public-safety,equivalent-topic,justice-public-safety.juvenile-justice,Equivalent topic.
emergency-medical-and-911,justice-public-safety,research-specialization,justice-public-safety.emergency-response,Ambulance and dispatch specialize the shared fire/ambulance/911 topic; no duplicated incident.
fire-and-emergency-response,justice-public-safety,research-specialization,justice-public-safety.emergency-response,Fire response specializes the same existing topic rather than being another copy of a response event.
firearm-safety-and-carry,justice-public-safety,research-specialization,justice-public-safety.firearms,"Shipped topic also covers purchase, removal and prohibited possession; do not narrow it to carry alone."
roads-and-bridges,transportation-infrastructure,equivalent-topic,transportation-infrastructure.roads-and-bridges,Equivalent topic.
transportation-funding,transportation-infrastructure,partial-overlap,fiscal.appropriations;fiscal.capital-budget;transportation-infrastructure.capital-construction-and-maintenance,No dedicated funding issue key; bind a fiscal operation to the transportation target rather than invent a second payment.
traffic-safety,transportation-infrastructure,no-explicit-counterpart,,"No explicit traffic/road-user safety issue in the shipped vocabulary. Roads-and-bridges is adjacent infrastructure, not equivalent substantive safety policy."
transit-and-mobility,transportation-infrastructure,research-specialization,transportation-infrastructure.transit,"Existing transit covers routes, frequency and fares; broader mobility/access modes may require explicit future additions."
airports-ports-and-freight,transportation-infrastructure,research-umbrella,transportation-infrastructure.airports-and-ports;transportation-infrastructure.rail,Freight links to rail and ports; do not erase intercity passenger rail or infer every freight mode is covered.
water-wastewater-and-public-works,transportation-infrastructure,research-umbrella,transportation-infrastructure.water-and-sewer;transportation-infrastructure.stormwater;transportation-infrastructure.capital-construction-and-maintenance,"Water, sewer, drainage and works delivery remain distinct facilities and obligations."
housing-supply-and-affordability,housing-land-use-community-development,research-umbrella,housing-land-use.housing-supply;housing-land-use.housing-affordability,Sufficient total supply can coexist with an individual affordability problem.
zoning-and-land-use,housing-land-use-community-development,research-umbrella,housing-land-use.zoning;housing-land-use.permitting;housing-land-use.neighborhood-planning,"Permission, process and planning are not interchangeable legal acts."
homelessness,housing-land-use-community-development,partial-overlap,housing-land-use.homelessness;health-human-services.homelessness-services,Condition and services are separate existing keys; maintain both.
building-and-safety-codes,housing-land-use-community-development,equivalent-topic,housing-land-use.building-codes,Equivalent building-code subject; not all public-safety laws.
redevelopment-and-neighborhood-investment,housing-land-use-community-development,research-umbrella,housing-land-use.redevelopment;housing-land-use.neighborhood-planning;business-commerce.downtown-and-industrial-development,Related place investment themes; preserve industrial development and actual project identities.
