branch	last_commit	commits_not_on_main	commits_behind_main	files_changed	changed_files_still_differing_from_main	src_files_still_differing	pull_requests	merges_cleanly_into_main	last_commit_subject
codex/multistate-funded-service-current-main	2026-09-24	7	20	50	50	45	none	yes	Add game-profile legislative authority contract
codex/client-update-retry-progress	2026-09-24	5	22	5	0	0	#551 closed/merged; 	yes	Merge remote-tracking branch 'origin/main' into codex/client-update-retry-progress
claude/codex-legislative	2026-09-24	4	20	93	93	83	none	yes	Release declaration: A bill can be filed, voted on and enacted
claude/codex-news	2026-09-24	4	20	12	12	11	none	yes	Release declaration: News you read can come up in conversation
codex/art-director-sep22	2026-09-24	3	21	3	0	0	#477 closed/merged; #525 closed/merged; 	yes	Format the Art Desk notice test and declare the change
claude/codex-bereavement	2026-09-24	3	20	3	3	2	none	yes	Release declaration: Condolences use only what was recorded
claude/codex-parent-pay	2026-09-24	2	20	4	4	3	none	yes	Release declaration: A parent's pay arrives while a child plays
claude/codex-succession	2026-09-24	2	20	20	20	19	none	yes	Release declaration: A governor who leaves office has a successor
claude/job-start-is-a-calendar-stop	2026-09-24	1	20	3	3	2	none	no	Letting time pass stops on a new job's first day
codex/routine-scene-interruptions	2026-09-24	1	1	0	0	0	#678 closed/merged; 	yes	Merge #679: a lost race says only that the candidate lost, and by how much
codex/legislative-district-federal-municipal	2026-09-24	16	27	125	125	114	none	yes	Admit exact local fiscal game authority for council measures
claude/project-thread-nrwxy9	2026-09-23	7	768	20	20	14	#571 open/unmerged; 	no	Merge origin/main; regenerate the prose inventory
codex/dated-news-opening	2026-09-23	7	25	9	0	0	#613 closed/merged; 	yes	Merge remote-tracking branch 'origin/main' into codex/dated-news-opening
claude/death-causes-1k19l4	2026-09-23	6	96	24	24	22	#639 open/unmerged; 	yes	Merge origin/main into death-causes
claude/project-thread-0on7kt	2026-09-23	6	901	23	23	13	#420 closed/unmerged; #462 closed/merged; #499 closed/merged; #512 closed/merged; #513 closed/merged; #533 closed/merged; #564 open/unmerged; 	no	Take the lost cat, the school-blame stage and the unanswered childhood question out of play
claude/project-thread-frb9h5	2026-09-23	6	777	26	22	17	#408 closed/merged; #457 closed/merged; #502 closed/merged; #524 closed/merged; #570 open/unmerged; 	no	Fix main's red lint and American English sweep: unused URL global; signaled, modeled
codex/questionnaire-curated	2026-09-23	6	26	10	2	2	#609 closed/merged; 	yes	Merge remote-tracking branch 'origin/main' into codex/questionnaire-curated
codex/instant-choice-labels	2026-09-23	5	23	4	2	2	#604 closed/merged; 	no	Merge remote-tracking branch 'origin/main' into codex/instant-choice-labels
claude/college-waits-1k19l4	2026-09-23	5	141	14	14	10	#628 open/unmerged; 	yes	Merge origin/main into college-waits
claude/project-thread-7aoelm	2026-09-23	5	1228	11	5	4	#489 closed/unmerged; 	no	Regenerate prose coverage counts for the new measure validation messages
claude/project-thread-f602q8	2026-09-23	4	797	19	19	15	none	no	Merge main; regenerate prose coverage counts
claude/project-thread-tknihr	2026-09-23	4	437	2	2	1	#579 open/unmerged; 	no	Merge origin/main; the Let time pass refusal sits above today's calendar choices
claude/project-thread-2sq5w6-contests	2026-09-23	4	42	18	11	9	none	no	Date a chosen home district from the household records; refuse beside the button
codex/formative-grounding	2026-09-23	4	24	3	2	2	#602 closed/merged; 	no	Merge remote-tracking branch 'origin/main' into codex/formative-grounding
claude/project-thread-le1hw6	2026-09-23	40	388	5	5	0	#553 closed/merged; #584 open/unmerged; 	yes	Merge remote-tracking branch 'origin/main' into claude/project-thread-le1hw6
claude/project-thread-j7kfwi	2026-09-23	3	865	14	14	11	#428 closed/merged; #446 closed/merged; #460 closed/merged; #470 closed/merged; #474 closed/merged; #476 closed/merged; #492 closed/merged; #500 closed/merged; #511 closed/merged; #523 closed/merged; #535 closed/merged; #547 closed/merged; #561 closed/merged; #577 closed/merged; #587 open/unmerged; 	no	Keep the desk render test inside the app project; regenerate prose counts
claude/project-thread-xh4kyk	2026-09-23	3	754	10	10	8	#421 closed/merged; #437 closed/merged; #482 closed/merged; #521 closed/merged; #556 closed/merged; #576 open/unmerged; 	no	Merge remote-tracking branch 'origin/main' into claude/project-thread-xh4kyk
codex/optional-life-activity	2026-09-23	3	684	8	8	7	#606 closed/unmerged; 	no	Declare the optional everyday activity change
claude/project-thread-wnkzox	2026-09-23	2	912	5	5	3	#509 closed/merged; #537 closed/merged; #541 closed/merged; #589 open/unmerged; 	no	Declare the death-notice fix, and regenerate the prose coverage counts
claude/project-thread-x0dn5m	2026-09-23	2	777	7	7	5	#539 closed/merged; #581 open/unmerged; 	yes	Merge origin/main
claude/project-thread-615zo7	2026-09-23	2	27	9	0	0	#672 closed/merged; #675 closed/merged; #677 closed/merged; 	yes	Declare the Lie button change
claude/project-thread-2sq5w6-recognition	2026-09-23	2	1389	11	6	5	none	no	Date a chosen home district from the household records; refuse beside the button
claude/project-thread-1k19l4	2026-09-23	27	751	41	40	24	#405 closed/merged; #430 closed/merged; #475 closed/merged; #528 open/unmerged; 	no	Say only what the childhood change does
claude/school-stages-1k19l4	2026-09-23	26	879	45	43	27	none	no	A child in school moves on to middle and high school
claude/college-forward-1k19l4	2026-09-23	1	886	4	1	1	none	yes	A grown child can apply to college after the directory's year
claude/project-thread-l04zry-format	2026-09-23	1	1155	2	2	0	none	yes	Format two town test files the mayor change left unformatted
claude/project-thread-2sq5w6-fields	2026-09-23	11	806	74	48	34	none	no	Merge the Congress branch into fields; restore an import the merge dropped
claude/project-thread-t24oub	2026-09-22	5	2399	2	2	0	#400 closed/unmerged; 	no	Merge main into the dual-systems count
claude/playtest-party-screen-says-so	2026-09-22	4	2895	3	2	1	#307 closed/unmerged; 	no	Merge main (#312) into the parties screen branch
codex/build-6146df3-source	2026-09-22	42	2903	223	46	23	none	no	Merge pull request #314 from lamontaes/claude/character-rendering-triage-19kvvz
claude/project-thread-2sq5w6-refile	2026-09-22	3	1831	6	6	5	none	no	Leave re-filing after a race to the local-races lane
claude/format-exclusions-for-build-branch	2026-09-22	33	2903	219	42	22	none	no	Carry the format exclusions this branch was missing
claude/research-request-queue-hf3e0n	2026-09-22	2	2980	2	2	0	#286 closed/merged; 	no	Re-render the queue at the committed head
claude/player-facing-text-336xxe	2026-09-22	24	2903	217	42	40	#291 closed/unmerged; 	no	Say what is in the way, not where the rule was read
claude/campaign-model	2026-09-22	1	3007	4	4	2	#288 closed/unmerged; 	yes	Propose a causal campaign model, unmerged and behind its own review
claude/project-thread-81ji44	2026-09-22	1	1720	4	2	0	#445 closed/unmerged; 	no	Research: four questions from the long playthrough
claude/project-thread-4y594d	2026-09-22	10	3007	2	2	0	#293 closed/unmerged; 	yes	State the render convention in the source copy
codex/playtest65-u	2026-09-21	21	2903	181	16	16	none	no	Remember an accepted rethink only for what it actually led to
claude/prose-contextual-scenes	2026-09-19	1	3067	1	1	0	none	yes	PEOPLE: record the contextual-scenes pin as next-candidate cargo
claude/creator-preview-clears-bar	2026-09-19	1	2984	1	1	1	none	yes	Take the pinned row out of the preview's scroll area
claude/main-baseline-sharded	2026-09-18	3	3530	6	4	0	#272 closed/unmerged; 	no	Eight browser shards
claude/crisis-people-proof	2026-09-17	6	3515	54	47	30	none	no	Proof: opened ordinary life before the controlled death; refresh onto PEOPLE 89d513d9 and CRISIS fa86b115
claude/ui46-campaign-mount	2026-09-17	6	3489	172	132	74	none	no	Regenerate the prose inventory after CAMPAIGN 53091bfd
claude/maps-political-geography	2026-09-17	2	3530	79	12	7	none	no	MAPS: interactive political geography under Politics → Government
claude/crisis-governing-proof	2026-09-17	2	3457	40	23	15	none	no	Proof: CRISIS office-continuity notices reach GOVERNING on every date boundary
cursor/alive43-art-desk-708a	2026-09-16	2	3573	2	2	0	#262 closed/unmerged; 	no	Reconcile the two new environment requests against preserved park evidence
claude/alive43-l3-chapters	2026-09-15	7	3557	31	24	21	none	no	ALIVE43 L root adapter: reach party chapters from Politics and pins
claude/alive43-l-on-w1	2026-09-15	5	3559	25	20	17	none	no	ALIVE43 L root adapter: show the world introduction to a new life
claude/alive43-l-intro-recap-encounters	2026-09-15	3	3577	21	18	16	none	no	ALIVE43 L: label a raised matter apart from the subject switcher
claude/alive43-w-world-parties	2026-09-15	2	3553	1	1	0	none	yes	Record the final full-suite classification for LAND
cursor/delivery28-x-executive-repair-e989	2026-09-14	8	3650	20	18	10	#229 closed/unmerged; 	no	Regenerate the prose coverage inventory after structured press copy.
cursor/staff-office-onboarding-28c4	2026-09-14	7	3626	38	30	12	#237 closed/unmerged; 	no	Merge origin/main into staff-office-onboarding.
cursor/rest37-m-collective-appointment-e32d	2026-09-14	7	3626	20	18	5	#252 closed/unmerged; 	no	Refresh prose coverage for the municipal election refusals.
fable/world39-editorial-delta	2026-09-14	6	3626	31	31	13	none	no	WORLD39 editorial delta: News and Journal speak about the place and the life
cursor/ux39-creator-nav-calendar-a942	2026-09-14	5	3626	42	42	32	#254 closed/unmerged; 	no	Give the appearance step its own opaque creator panel.
cursor/world39-news-journal-c615	2026-09-14	5	3626	29	29	12	#253 closed/unmerged; 	no	Inventory WORLD39 News and Journal reader prose in the corpus.
cursor/rest37-m-municipal-route-1925	2026-09-14	4	3626	18	17	4	#250 closed/unmerged; 	no	Mint computed prose anchors for the manager appointment.
cursor/rest37-x-executive-entry-0cde	2026-09-14	3	3626	14	13	12	#248 closed/unmerged; 	no	Declare the completed X dated-entry public increment
cursor/steam-coming-soon-packet-2641	2026-09-14	2	3626	35	35	0	#251 closed/unmerged; 	yes	Finish STORE Coming Soon copy, titled capsules, and AI survey.
